repo,id,block,type
fastai,18d17f4ac3c7b1c75d7a574eddc99389b2fa06b3#19,"[25, 25]",identical
fastai,927e4a82ef102eed5f97c204e162ca4b512002f9#18,"[43, 43]",identical
fastai,e377479080dc39747532936025d4951862333854#16,"[94, 94]",identical
PmagPy,c74baad5354cf0f158ab86a2236e73664b6d1923#1,"[202, 198]",identical
recommenders,fb642b6eec92d0fcc16e791f20cc91206f35b7ba#0,"[23, 22]",identical
examples,036117caae91ede4783cb0797273128d203e56aa#18,"[9, 11]",identical
PmagPy,3a3b17b2f53cb43e760e2c4ad54bb1484d9e06cd#0,"[216, 216]",identical
fastai,b711e01f28b47dec1e185afab956481d462aefc2#0,"[57, 57]",identical
fastai,dd7d0bc5d8114f3ea1d5ca1658280775aacc94a4#20,"[8, 8]",identical
recommenders,2a76cbc9bf02ef2257f67fd3861f8c5662331b59#7,"[29, 29]",identical
recommenders,1328068be4ff0fdeca09e43b8bd0320375404936#0,"[19, 19]",identical
fastai,b28d9eb39b42468721b1358832a5538f8a98ad2d#0,"[90, 91]",identical
PmagPy,352f288bbbe3c3f87dc971f9e25319cc63c4f985#1,"[390, 390]",identical
fastai,f6f7065f08c59238805732f22de68c483eb7db5b#31,"[10, 10]",identical
fastai,e377479080dc39747532936025d4951862333854#20,"[82, 82]",identical
fastai,82e8d22a6a6315f982a750789086c863a2ee5c89#4,"[158, 158]",identical
fastai,4222c2d95533755d12592bd392bf6c68fa3e30b0#45,"[75, 75]",identical
fastai,cc94c963f78e6a14d56b52e4e24bb6e657b12deb#14,"[47, 47]",identical
recommenders,27617f8d0788ab204a2ba98f0cb265486f1aeaab#0,"[26, 26]",identical
PmagPy,8b82fd190b506816b7b3960df8d9ea58e05615a6#1,"[41, 41]",identical
recommenders,94c09d712131991ffa20cd0e09eca0a5074fd6b4#2,"[6, 6]",identical
Data-Analysis,68dda3e925892881e5bfd8773592e7dfe312d867#0,"[7, 7]",identical
fastai,10ba928cc5030416e3c976232fa3ab6522e37143#2,"[24, 24]",identical
fastai,c19a744b1d5b49fd99d695cb2217d92a3d95ac05#0,"[242, 239]",identical
ThinkDSP,3ff701e4b9869e019affd757a24002ea5a40fd8d#4,"[21, 18]",identical
fastai,cdd06e38332b04e4dd3af927cb0ff4549c82a52b#3,"[126, 126]",identical
PmagPy,a8967399f9cc3103e74c7af3cade5a0533e579eb#0,"[178, 178]",identical
fastai,ab54f6fba1666fdb649c573adb8086be35afcc9f#0,"[138, 138]",identical
h2o-3,6e1e0854c84d7a0613c4f303dd522d088a045ae3#0,"[62, 62]",identical
fastai,53ac6f1b9d6878536c4decd226fd0a5b1e2e2bf4#11,"[79, 79]",identical
fastai,b8c14bb556efd26bd7ba4e4f6f51a4a494166cbc#14,"[84, 84]",identical
fastai,d9eb10fd7978e1ce2c879ed8c7fa7a8af1c2fabd#3,"[28, 28]",identical
recommenders,2a76cbc9bf02ef2257f67fd3861f8c5662331b59#14,"[15, 15]",identical
recommenders,dfacd89c0ba1f4bf72b48e43d8262fd88192148e#0,"[6, 6]",identical
fastai,d50549a5db65793bbdb34de2bad2c7527b47c3d4#6,"[120, 120]",identical
fastai,927e4a82ef102eed5f97c204e162ca4b512002f9#36,"[13, 13]",identical
fastai,052bf674c244784ce68e46981af63e9e9fead210#0,"[49, 49]",identical
fastai,fa0a6d205bf0b259b77254d9affc3d58b005bd8e#12,"[36, 36]",identical
fastai,d9eb10fd7978e1ce2c879ed8c7fa7a8af1c2fabd#12,"[38, 38]",identical
fastai,d9eb10fd7978e1ce2c879ed8c7fa7a8af1c2fabd#8,"[26, 26]",identical
PmagPy,a80c889e7a63e964b9077f168c0835417137b221#4,"[118, 118]",identical
fastai,10ba928cc5030416e3c976232fa3ab6522e37143#2,"[32, 32]",identical
recommenders,caabe7c1f484d2eb93aafcfdf9491f7a2ac4cba0#11,"[35, 34]",identical
fastai,f94292e64ea822d2a6b2b51977dd2e56e0ded719#0,"[97, 98]",identical
fastai,4e3fd2de943638f0a8ac8bb1153b507820aa3168#11,"[64, 64]",identical
fastai,d50549a5db65793bbdb34de2bad2c7527b47c3d4#10,"[51, 51]",identical
fastai,5c8356b6af7e907a13209f5f1d8b9da2efb84720#1,"[48, 48]",identical
fastai,de1b552b0556e86f18b61cdf23ba03317b30cfb6#4,"[24, 24]",identical
fastai,c119b52c0e4c3f0b6f602e983fbe2503075a5748#0,"[96, 96]",identical
fastai,bbcd4e0ce5614630aed31695af92df139d3c489f#1,"[4, 4]",identical
recommenders,9af80554fa9b37040247bb958838d618ef074b7c#0,"[22, 22]",changed
recommenders,a2548c10c0889f11d2b16737df86977f86a624df#0,"[4, 20]",changed
recommenders,3139604e4379747a739d97a5f91b29ec26715224#1,"[4, 3]",changed
Data-Analysis,9f5ac35dbfe431f7cb6cd8ddb94eb8fe8b4a31be#0,"[34, 39]",changed
fastai,db55e7cba6994b1af137be1bbc2af12f880cf8a1#1,"[91, 48]",changed
h2o-3,54cad9db0c9170dd0640e7f27ff1bad81bff9c2d#0,"[60, 60]",changed
ThinkDSP,7122b76beb46bd56f4731d2522ee5598292568e6#0,"[39, 41]",changed
ThinkDSP,3ff701e4b9869e019affd757a24002ea5a40fd8d#4,"[5, 4]",changed
ThinkDSP,4ea1056cb058281d8a6d99cbc678ffbb19f1acb0#4,"[13, 64]",changed
recommenders,267892423634ee2e78de20942df4dc93b6c03241#0,"[7, 7]",changed
fastai,d9eb10fd7978e1ce2c879ed8c7fa7a8af1c2fabd#6,"[53, 53]",changed
ThinkDSP,fcb5216ab348a1256e7fa79e57b7c3887df0c4ab#0,"[4, 4]",changed
PmagPy,d5cb4de4c66cf54f159232c3f51dc557dc282fd8#0,"[114, 114]",changed
fastai,d22bc506642576be1b5273282f4da35d2bcf05bd#3,"[5, 5]",changed
Data-Analysis,9f5ac35dbfe431f7cb6cd8ddb94eb8fe8b4a31be#0,"[28, 33]",changed
recommenders,d91ab96fb9acb4e3e053c07e879891c808dfc4cf#0,"[22, 22]",changed
examples,25583993ea208da9ce9d4b0f5530c35a58a4d85b#0,"[11, 11]",changed
fastai,e82bfa82347e3a4e39beaf97c0d25d42bbc39ae7#0,"[8, 6]",changed
fastai,d7dd5ec789111dbbb95bb81483859aaa971e28f6#0,"[72, 72]",changed
PmagPy,a64b87b63bb7540728ebf494b65b6c36a1b43291#0,"[226, 226]",changed
ThinkDSP,90e4b3195e527253e246dbbce3d9e5192048db44#2,"[4, 4]",changed
h2o-3,d25bdf76d8e7504298b590b225e8b02a4b70ed21#0,"[8, 7]",changed
fastai,a6926d47ed83641eee0c53a2d8137e31a82aba28#0,"[19, 19]",changed
Data-Analysis,15ebdadc4977926ee2eed820e3c168e1aba7fd8a#0,"[18, 18]",changed
Data-Analysis,94fd16fff52002dbb106dd0a7e44ca075117045e#0,"[79, 79]",changed
recommenders,17e790280dc01a0345af0abde7fb529fbf0b34c4#0,"[28, 28]",changed
fastai,dec7643b09b531ec92c70badb7b4ba3800aa71f5#0,"[53, 51]",changed
ThinkDSP,a9e67e3bba2cdc0dc5ea0a6cbb5c161b853137bb#1,"[24, 14]",changed
recommenders,58ae95116f248763891278135f1ea1f0dbddd1aa#0,"[21, 21]",changed
recommenders,3169ba7b1301885ebeff774220313df433fedbb3#1,"[4, 4]",changed
fastai,6ff47993adcf92ee524740e8e4c55c391d670f51#5,"[54, 54]",changed
Data-Analysis,ead86450656be0346076aac4431e7f10c26cf167#0,"[19, 4]",changed
recommenders,412cc8de5b7372b55e703ecac85524be163b4221#0,"[48, 47]",changed
fastai,22b32aab155dcfa5ebf10d4b86f125039811bd5d#0,"[73, 73]",changed
fastai,f93ddafcdfdc0f96ed059af0eff59a10b2726dca#0,"[64, 58]",changed
recommenders,2a76cbc9bf02ef2257f67fd3861f8c5662331b59#2,"[1, 1]",changed
recommenders,6528a0cd888f0a0f1c25f95bacacb427869cf156#0,"[11, 11]",changed
fastai,2e99e9ead29f830df6333c32f78ba4168e88f6c7#11,"[12, 12]",changed
recommenders,2295b6b7cf960a04b70f7cc43da07e037730a5b5#0,"[1, 1]",changed
examples,105085fea9b425d8de46ca1e1e76de6ea20a81ec#0,"[52, 52]",changed
recommenders,53926bc31f6120c9d8ab9c567cb43ee3dd1a65db#0,"[20, 18]",changed
PmagPy,9ffd3eaf8f47a94fefa55c0d19712bf1f73ddee1#1,"[20, 20]",changed
ThinkDSP,90e4b3195e527253e246dbbce3d9e5192048db44#3,"[36, 30]",changed
recommenders,28de14c8ad010d39dd5fe1207914e6e2467c6faa#0,"[38, 38]",changed
recommenders,e658736a015bb19b94584a6c69025536ed666964#0,"[16, 16]",changed
h2o-3,43c9b82ab463e712910d1353013d499684021858#1,"[7, 7]",changed
fastai,6ae4f12cd91af27cb990893c48a5046acbdb181e#0,"[2, 2]",changed
fastai,3d1b755322e913b5a3feb192beac9c34ff35bf4f#0,"[6, 6]",changed
examples,729752738613a3642b5ddff0425f98a49f8924b4#6,"[43, 43]",changed
fastai,742a9f62e67a484a7f44e0db9fbb9dd6c179ef0b#0,"[31, 26]",changed
fastai,d22bc506642576be1b5273282f4da35d2bcf05bd#3,"[34, {34, 37}]",split
fastai,b751575ac32f3006e100e3fd992567dc94e1f79d#5,"[13, {37, 38}]",split
ThinkDSP,fcb5216ab348a1256e7fa79e57b7c3887df0c4ab#0,"[30, {27, 29}]",split
PmagPy,a64b87b63bb7540728ebf494b65b6c36a1b43291#0,"[31, {35, 31}]",split
ThinkDSP,418001f60d5507db24655c61c88be630113e1788#0,"[51, {67, 51}]",split
fastai,fc6af69a2496436cc82e68f82edc69b8fd8a98b3#0,"[18, {8, 10}]",split
recommenders,870bc1dd81432ded97b3ddfa8c7de3a14069a705#0,"[25, {14, 15}]",split
fastai,052bf674c244784ce68e46981af63e9e9fead210#3,"[66, {66, 71}]",split
fastai,b9ae5782b7d00336a491bcdc733b05a91c43b119#0,"[57, {58, 59, 60}]",split
recommenders,52cd2f862851856c82786034913e079ef89e9400#0,"[33, {27, 21}]",split
ThinkDSP,f3e21cc5a67534f8077bd64145efc89827c9d531#0,"[20, {24, 18, 20}]",split
fastai,131e230dd915b0998b8afe9603a183c001422da8#0,"[53, {18, 53}]",split
PmagPy,c2fbebfa57b8fe95fae763aa299caac90443969d#0,"[350, {105, 349}]",split
fastai,edab9efd388659eb52d313f85c76a22bd0767954#1,"[51, {45, 53}]",split
Data-Analysis,3b294faeeb90057741e96d4c0e8650d76c197a71#0,"[48, {48, 55}]",split
ThinkDSP,37ab5c62ca0c7f0ec6b72e61964c1b6115e22e7c#0,"[65, {81, 20, 79}]",split
recommenders,163c12167ce15bc7a20e9fbbf2448733a6fc8553#0,"[9, {9, 10}]",split
recommenders,5178d1cfe6af80c0b7b6cebdcfa04f44a57a876c#0,"[11, {17, 13}]",split
PmagPy,a64b87b63bb7540728ebf494b65b6c36a1b43291#0,"[33, {152, 33}]",split
PmagPy,77f98a19af0bbd4a48ac1f631c7e76cb44707c45#0,"[277, {293, 278}]",split
h2o-3,5408539f72c3725c54c721a1c84ee93ba958d888#0,"[5, {4, 5}]",split
Data-Analysis,d3c87c2f29c6260d1ebddb9e1414ca839d37a5bc#0,"[8, {3, 7}]",split
ThinkDSP,30b5a8cac55d4c23cca9415ca44f92f879a33def#0,"[10, {10, 12}]",split
fastai,5300b154af0641580f67708eeb26d981fdf465d1#0,"[46, {24, 21}]",split
recommenders,5ab9c55d6a76e8f7175420fd5bf59412e0f20b80#0,"[9, {9, 10}]",split
fastai,8f317a698c07ff082f21f0669b49eb5e620437f0#0,"[83, {75, 84}]",split
recommenders,c98ef6fc299aaf769a13258c0c0079a7c228432a#1,"[3, {26, 3}]",split
fastai,68134bb77e580e428463f9cf579d978d51b5800c#7,"[114, {124, 118}]",split
fastai,b5f0c79d7d1a45168023d61d6e4aeb97008436b9#5,"[8, {32, 31}]",split
recommenders,62bde140f7444be4474618cc710399164912f888#0,"[3, {4, 5}]",split
ThinkDSP,0b35368148c69c3d2773dc4ba8543d35acd976a7#0,"[10, {10, 12}]",split
fastai,2bbbaabe934fde46cbd4bd8cb44b770f7cf7720c#4,"[42, {41, 39}]",split
examples,771667984b4c90168e981c365477b790e081fc00#2,"[11, {11, 15}]",split
fastai,964e4687291873d967ce247e0d08b81e5a229a56#1,"[53, {56, 43}]",split
ThinkDSP,86f9083d0d6f8178ed7bbbbbf705f6427512f895#2,"[38, {9, 11, 12}]",split
PmagPy,a64b87b63bb7540728ebf494b65b6c36a1b43291#4,"[152, {152, 166}]",split
h2o-3,91fd4def9f2c481cc91e6572c35b2a7dd710dd10#1,"[9, {9, 11}]",split
Data-Analysis,23244de92fcb59bd92b120df05595902fe3a897a#0,"[54, {54, 31}]",split
fastai,3fd0af84b6dadd0be604d34716a316b7cdfeff07#0,"[134, {152, 150}]",split
ThinkDSP,90e4b3195e527253e246dbbce3d9e5192048db44#4,"[24, {24, 32}]",split
recommenders,412cc8de5b7372b55e703ecac85524be163b4221#0,"[41, {41, 44}]",split
recommenders,a02a089a5c413a7313f369f484537b613dd8dad0#1,"[11, {12, 13, 14}]",split
h2o-3,19ab94b13e013a23258100f8358801db86ad675e#15,"[10, {9, 10}]",split
fastai,2b9115a37bfdc8d42ccc7d4d2462ce0353b1cd7a#4,"[27, {33, 31}]",split
PmagPy,a80c889e7a63e964b9077f168c0835417137b221#0,"[199, {163, 199}]",split
Data-Analysis,f5fb7d13401f2bba82165f2657ea344ec9cdea24#0,"[53, {2, 35, 36, 23, 26, 27}]",split
fastai,f93ddafcdfdc0f96ed059af0eff59a10b2726dca#0,"[48, {41, 101}]",split
recommenders,f2bb36b95e3d9db0c75d02c8143b413242ea6726#0,"[20, {19, 21}]",split
fastai,d22bc506642576be1b5273282f4da35d2bcf05bd#0,"[12, {24, 12}]",split
examples,6f899dcbce9660dc6ddcd1ed87c9e084dffc8e5c#0,"[13, {16, 9, 15}]",split
recommenders,62bde140f7444be4474618cc710399164912f888#1,"[{11, 13}, 14]",merge
fastai,edab9efd388659eb52d313f85c76a22bd0767954#1,"[{26, 22}, 28]",merge
Data-Analysis,13368040a9d198b11608f3ecaa627a1956fa58b6#0,"[{27, 14, 30}, 12]",merge
ThinkDSP,cc9b668fd3721c75561065c5a107870bb73ff2b5#0,"[{12, 6}, 6]",merge
Data-Analysis,32730e4d9f10401db0f77886fc93d417174dcefb#0,"[{4, 6}, 2]",merge
ThinkDSP,d600709e0d617efaa5a0a19970547b08528c3cd5#0,"[{18, 61}, 18]",merge
ThinkDSP,a9e67e3bba2cdc0dc5ea0a6cbb5c161b853137bb#0,"[{24, 20}, 20]",merge
fastai,3f426336fea1f866213750f6ffb5cb17e35ff728#1,"[{41, 47}, 45]",merge
fastai,cc5ed2e3515467ac0a03cd047d79b623406048b5#0,"[{65, 58}, 73]",merge
h2o-3,9fa3eceaf326e0bea9f1b18150f825a202698ce5#0,"[{13, 14}, 9]",merge
Data-Analysis,0ccbf25fce26b756abe8908531ad5827c4a43183#0,"[{18, 28, 29}, 16]",merge
fastai,ea9c07a0c49a4714e51ba3b8016157f034803bb4#1,"[{148, 149}, 151]",merge
fastai,64aea869ea5c5ab80c41cb5be624fbe19d43f9c1#1,"[{66, 61}, 49]",merge
PmagPy,a64b87b63bb7540728ebf494b65b6c36a1b43291#4,"[{172, 198}, 172]",merge
