id,block,type
c0ca01ca2af67b7d6d7a7ed1fa1ec55b2020a7ff#96,"[33, 33]",identical
b9eec85f5cf04f9d20ca7cc73f53fe95229c894a#0,"[31, 31]",identical
506fbfbe17b25e781a6da24bb198b8c84c13639b#26,"[6, 6]",identical
4f26d41020a1621238c59bb4b294c65232664291#13,"[38, 38]",identical
e4883e019d8e777dda2208277f39441c249d9200#47,"[39, 39]",identical
dd62170893fa44fe34755301024f16418a55b46f#2,"[11, 11]",identical
59163f76c9fd2e0f124fd8885964531cd12ad4cb#16,"[16, 16]",identical
49615087d12050b82cd1afb4de4a898d5757893b#43,"[22, 22]",identical
2680982600fb7a19427f44d81bc0dac1f119e7f0#4,"[24, 24]",identical
8f8ff2970888656ea3cf2ac0e5c6b08978cd2c1d#0,"[5, 5]",identical
d2809721c875cafe78df7956ee6d754e37ec5419#0,"[8, 8]",identical
d99685262b79be4d4ee9348ff0aacdc3fb222121#12,"[5, 5]",identical
90a04bb0c119a8d70b9a3a6dd7a0154f9058362e#46,"[4, 4]",identical
1b720bdd2f3c011e55cded72f5d931ddc9e8874b#218,"[22, 22]",identical
84d36ca7bae2b0622158bea774adb9914a945bcb#44,"[21, 21]",identical
db747cb20759f371bfc5190f5d7fcd306fef65e2#6,"[16, 16]",identical
8bc6a777bde77a36c4e8d5964e4958591173ce5a#3,"[26, 26]",identical
1b720bdd2f3c011e55cded72f5d931ddc9e8874b#92,"[22, 22]",identical
998a03155eda73ed798aa637a0448eed5db0e359#24,"[47, 47]",identical
aef59497459f23822954f6ca385b211f3a3dba4f#5,"[27, 27]",identical
1b720bdd2f3c011e55cded72f5d931ddc9e8874b#98,"[1, 1]",changed
e9314100ea2a3de3655c6c90ba5401a33fee967d#0,"[16, 16]",changed
c0ca01ca2af67b7d6d7a7ed1fa1ec55b2020a7ff#11,"[23, 23]",changed
1c9d33137db6a67b696af4ebc3dabdb7f85c7970#0,"[31, 31]",changed
c0ca01ca2af67b7d6d7a7ed1fa1ec55b2020a7ff#93,"[16, 16]",changed
506fbfbe17b25e781a6da24bb198b8c84c13639b#12,"[45, 45]",changed
8bc6a777bde77a36c4e8d5964e4958591173ce5a#29,"[20, 20]",changed
66dcfb8c93bbf1b6d22792cef990b40733d8df03#0,"[21, 21]",changed
debbd9e434125b1e24ab5c179bb923e34032fb9f#0,"[6, 6]",changed
1a7459ee914e9f674925580d3872c8b15dc4c6e2#66,"[5, 5]",changed
0ee50603b526c9c222c10f40dbc5875e3b414dd4#4,"[21, 21]",changed
5cec33ac9de97fa0d3666bb75e4261fd7ea2b0c5#1,"[6, 6]",changed
f178b763eef80b432d74fd99dc6cce34793b5342#0,"[137, 137]",changed
84305cef2f695809f85fef3003d66a0a208ec5b4#4,"[16, 16]",changed
b43efef0c173c605c51de7e6cab7c205a6e42f97#24,"[7, 7]",changed
84305cef2f695809f85fef3003d66a0a208ec5b4#7,"[1, 1]",changed
50e38592d2d8a304f3372c53f49508f0c3aab646#7,"[49, 46]",changed
fbe7c17c31527fffaee13e7d9da89e4d01804ee6#1,"[32, 24]",changed
fce1e63025aaec1fb284ecf9b223698e182579f1#0,"[35, 35]",changed
30dea08209f6d060bae63e7cea2e69ae4a16d88d#20,"[25, 25]",changed
7afee183e11e326b43a59cf42ea050c7db950250#0,"[124, {121, 123, 125}]",split
30dea08209f6d060bae63e7cea2e69ae4a16d88d#14,"[17, {13, 15}]",split
6b88186b6a3b6e5c7afe591d81d3ffd89b61ca66#0,"[22, {20, 22}]",split
e2bab4c12d7d48e10765846cde21144ea0a1f628#0,"[18, {18, 19}]",split
24c0fcb218b78f1b45b0c3dcd1077609eca4f28f#6,"[26, {32, 23}]",split
2c5c57ac0e7f4a93913d5fd16d85265e1acaa93b#0,"[30, {28, 30}]",split
e2bab4c12d7d48e10765846cde21144ea0a1f628#0,"[29, {29, 31}]",split
9f692151733d2ed7b006d6b9d132d2e9aeb570a1#0,"[27, {16, 27}]",split
b43efef0c173c605c51de7e6cab7c205a6e42f97#10,"[17, {17, 14}]",split
c0a51f6506211c7c879146baaedaab59ede6ab79#17,"[12, {12, 14}]",split
fbe7c17c31527fffaee13e7d9da89e4d01804ee6#0,"[31, {29, 31}]",split
fbe7c17c31527fffaee13e7d9da89e4d01804ee6#0,"[31, {29, 31}]",split
2591c33d33bc12842d4ee85d5a5bcde39ca33f7f#0,"[20, {18, 20}]",split
e8809175edd4ce0997a750eac08cef8710fbb4fa#0,"[5, {8, 5}]",split
3f95b28fe4109c4b6994fadc721ca548e577c2df#0,"[16, {16, 14}]",split
8ed7b6e3744e427218706ec13ced3eac07fb030d#0,"[17, {17, 19}]",split
7afee183e11e326b43a59cf42ea050c7db950250#0,"[124, {121, 123, 125}]",split
6b88186b6a3b6e5c7afe591d81d3ffd89b61ca66#0,"[22, {20, 22}]",split
9f692151733d2ed7b006d6b9d132d2e9aeb570a1#3,"[17, {17, 10}]",split
24c0fcb218b78f1b45b0c3dcd1077609eca4f28f#6,"[33, {32, 31}]",split
b5870aed110c3323fa35c61d2805efa8a26702da#0,"[{8, 7}, 7]",merge
4f129827d31a2ba6e00121cd14e485364bb21a3f#1,"[{16, 18}, 18]",merge
6b88186b6a3b6e5c7afe591d81d3ffd89b61ca66#8,"[{28, 29}, 17]",merge
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#15,"[{9, 12, 15}, 12]",merge
1339422f325871b114f90a7c186111751b06d481#0,"[{12, 14}, 11]",merge
0af84bb3744eaf6833eed5e0ded555e2d7331757#0,"[{9, 7}, 5]",merge
f643deeed5de088751e09b6a84e464760f923f42#0,"[{10, 12}, 12]",merge
ea85027bfec224fcd38d7c604bbad5aa0c61bec2#7,"[{9, 11}, 9]",merge
c0ca01ca2af67b7d6d7a7ed1fa1ec55b2020a7ff#64,"[{25, 3}, 3]",merge
f371b941ac6a17c6080e34f9668b8c60bb04bbcd#32,"[{34, 44}, 34]",merge
b29989bf7df79d0f39552c102501ea5602741be1#0,"[{24, 26}, 24]",merge
50e38592d2d8a304f3372c53f49508f0c3aab646#8,"[{36, 37}, 36]",merge
5ba88ba584355cc9adb6b7fe6cdc6a10e6d36909#1,"[{18, 15}, 11]",merge
84d6ae3db7579bdacce49458b5e766c4b4f99b00#0,"[{73, 84}, 73]",merge
2eb1ee5a46529dba9d71a59c0785786bcde460fa#0,"[{19, 15}, 21]",merge
d69b50053d2e27b2769994ee3d7995ef3f7e249a#1,"[{12, 7}, 7]",merge
30dea08209f6d060bae63e7cea2e69ae4a16d88d#9,"[{32, 33}, 30]",merge
72ed6b5c2eb4202b92c21972a324a058117103d6#1,"[{9, 6}, 6]",merge
ebd7e6e43bca96bfb946469e7023b7ac5449eaea#0,"[{27, 12}, 5]",merge
5b8762a68d786ab9ea492edadb974c77d378d63a#0,"[{43, 44}, 42]",merge
b5f8cdc15eebaf5febf449598fe3431bfddb187c#1,13,delete
f7868a6b570cb4eb8c1e3721ad285c2da70179a7#1,51,delete
f7868a6b570cb4eb8c1e3721ad285c2da70179a7#1,16,delete
2591c33d33bc12842d4ee85d5a5bcde39ca33f7f#0,32,delete
b6b00c4156f45b23710d165b14597bdc8db1ac5d#1,15,delete
bc09ba6ad9c01b58d0f6f9ec97744a3c55c3084e#0,8,delete
fbe7c17c31527fffaee13e7d9da89e4d01804ee6#3,18,delete
fce1e63025aaec1fb284ecf9b223698e182579f1#0,15,delete
308acee908f7dc1897354a6200fbad8096b32081#2,47,delete
3723a4bc80ad52fb279e6c2fc55901f091de82fe#0,35,delete
e5013fd4e5aef2be41c3e4d0190f98285a6b2889#0,12,delete
f7aa0c487c20ef13c61361dc020a3444f77ceddb#5,14,delete
4d495ab5a121ddecef32fdc125105989ee7cc656#0,13,delete
c85b0a6de68cd5e395f7e0db289a86ee66da2d2f#0,10,delete
d7e67f4fcf691733aa57e27060304d814daeb0ed#0,58,delete
2b3ccba5b4d0db85901a0277f459f154785dd9da#1,16,delete
a02e91b0eb51de68112f8d5ae1ae41bce2f5cdc9#0,17,delete
abb12602de99b7f53489134b167908dfaf92ac96#0,50,delete
d8030061864cece1c30e0aabbc64540ab6febe64#0,3,delete
0afb920dd82a439d2b6abd61c86a5f951cab7144#0,43,delete
a30fdd449ed770d805777bad24a26f249d2bf117#0,4,add
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#4,14,add
62a8bcb667fec369504d6e059df738e7a98916c7#40,57,add
d0cced8463437e6b812d3e1593cee2b3d8bdd40f#2,12,add
9831cfa0d99f4ece3791aa32d8136b1af5b6b83d#1,4,add
d8ffd5a9a4648e47503959386195779f03d3ffae#1,3,add
9a58ed3e21762592429be5ea5dc24ec738021ea9#1,66,add
703403cdc09a969f58db127c160be3c54aee9a07#0,2,add
30b11223e9da800669fa9e75af354a05e1f9273b#0,8,add
17daa043f9a928e5021e65cbe097c065ed1ae6d6#30,34,add
8452f3e06867ad088330d8e201acd37c5898c23a#2,7,add
5cb6314e90af1c3759e7f408a45e95588b572d2e#0,18,add
e40bdaa03da58bd8c86468d81bf0f1bada22a3bf#0,12,add
137ebdb603e6179861394e60725371026a03105b#0,38,add
04c6035f43f96ae4f67e4ce76fbbb030463f9e5d#0,39,add
241ab6be1f01250354b4c8ab76e4be04c7136c01#0,21,add
17daa043f9a928e5021e65cbe097c065ed1ae6d6#4,21,add
e0a6518d1c313d7a2de13cae428ab85882b7332b#1,14,add
794bae2be3def984ec9fb6667d61556d741ae351#1,5,add
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#17,10,add
e83b38273d350d49d337cffcebe907e78b9b4650#0,"[3, 4]",move
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#6,"[6, 8]",move
705d05c48db33e126934c84daded3fb1adbf7fe1#0,"[4, 8]",move
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#6,"[6, 8]",move
7d3a0f47657e6378c6d98ba5d44a3a126b96bf85#0,"[9, 22]",move
b94c11e0995399ffc9834c50bcd6368a88e83a2f#0,"[2, 3]",move
05882a4f6a7e6be7db9c0c703bc30d326668fce7#0,"[16, 18]",move
b6cb589aea74ba97d98de1c716eb7f523892ba43#0,"[10, 12]",move
71193ee0baaedd80ed10271f272eefd1ececfaad#0,"[27, 36]",move
f25a511057e04c72005dfbde5be65cc1c86c8983#0,"[10, 12]",move
8810beb08f92a3fe415f4c3bf9a5d3d0f5bd457e#0,"[9, 10]",move
8f0143d553d5cf7bdf990966eba267c54372968c#0,"[8, 11]",move
6395f23be66742782a49bc6654c9b6766ed9bca2#1,"[122, 139]",move
5e2d235c8e8f2efce87d5dae96e5d43e1fa3375b#4,"[26, 32]",move
cbfa510dd3f46cc8dbed4a15c3e2640740724315#11,"[12, 21]",move
48daa0012608fa9e3b47ab2c89693fcab4463fc9#4,"[11, 13]",move
b8820a6d773f4c0ffbced07fd779236cf9f497f6#0,"[9, 11]",move
51b79c63e748d41232b2d348b8ead949cebbdaa4#0,"[21, 31]",move
5d09f46b7a165a4e3bf9a944e281f2082d35a1af#0,"[10, 10]",move
b6cb589aea74ba97d98de1c716eb7f523892ba43#1,"[3, 4]",move
